votes_dem,votes_gop,total_votes,state_abbr,county_name,combined_fips
188.0,1172.0,1409.0,KS,Cheyenne County,20023
118.0,813.0,983.0,KS,Clark County,20025
665.0,2831.0,3727.0,KS,Clay County,20027
744.0,2856.0,3831.0,KS,Cloud County,20029
719.0,2990.0,3962.0,KS,Coffey County,20031
102.0,705.0,857.0,KS,Comanche County,20033
3436.0,8016.0,12171.0,KS,Cowley County,20035
5064.0,8394.0,14404.0,KS,Crawford County,20037
178.0,1220.0,1460.0,KS,Decatur County,20039
1582.0,5905.0,8008.0,KS,Dickinson County,20041
584.0,2601.0,3366.0,KS,Doniphan County,20043
30089.0,14308.0,48231.0,KS,Douglas County,20045
208.0,1033.0,1308.0,KS,Edwards County,20047
160.0,1048.0,1259.0,KS,Elk County,20049
2669.0,8311.0,11660.0,KS,Ellis County,20051
515.0,1933.0,2626.0,KS,Ellsworth County,20053
3006.0,6155.0,9731.0,KS,Finney County,20055
2032.0,4994.0,7425.0,KS,Ford County,20057
2829.0,7025.0,10658.0,KS,Franklin County,20059
2569.0,4116.0,7129.0,KS,Geary County,20061
149.0,1127.0,1328.0,KS,Gove County,20063
185.0,1013.0,1265.0,KS,Graham County,20065
427.0,1755.0,2311.0,KS,Grant County,20067
257.0,1651.0,2011.0,KS,Gray County,20069
83.0,523.0,639.0,KS,Greeley County,20071
484.0,2146.0,2811.0,KS,Greenwood County,20073
114.0,690.0,847.0,KS,Hamilton County,20075
388.0,1950.0,2513.0,KS,Harper County,20077
5006.0,8503.0,14540.0,KS,Harvey County,20079
228.0,1011.0,1300.0,KS,Haskell County,20081
124.0,845.0,1006.0,KS,Hodgeman County,20083
1489.0,3888.0,5727.0,KS,Jackson County,20085
2483.0,5112.0,8151.0,KS,Jefferson County,20087
180.0,1204.0,1483.0,KS,Jewell County,20089
126324.0,133907.0,279753.0,KS,Johnson County,20091
224.0,1048.0,1325.0,KS,Kearny County,20093
594.0,2507.0,3281.0,KS,Kingman County,20095
111.0,855.0,1023.0,KS,Kiowa County,20097
2234.0,5232.0,7919.0,KS,Labette County,20099
104.0,684.0,831.0,KS,Lane County,20101
10064.0,17387.0,29676.0,KS,Leavenworth County,20103
214.0,1168.0,1448.0,KS,Lincoln County,20105
721.0,3377.0,4279.0,KS,Linn County,20107
149.0,1124.0,1348.0,KS,Logan County,20109
4456.0,6354.0,11745.0,KS,Lyon County,20111
1177.0,3928.0,5465.0,KS,Marion County,20115
1060.0,3250.0,4578.0,KS,Marshall County,20117
3183.0,8407.0,12443.0,KS,McPherson County,20113
206.0,1390.0,1675.0,KS,Meade County,20119
3949.0,9839.0,14712.0,KS,Miami County,20121
469.0,2216.0,2824.0,KS,Mitchell County,20123
2557.0,8466.0,11623.0,KS,Montgomery County,20125
586.0,1790.0,2568.0,KS,Morris County,20127
145.0,970.0,1160.0,KS,Morton County,20129
714.0,4066.0,5025.0,KS,Nemaha County,20131
1464.0,4340.0,6151.0,KS,Neosho County,20133
160.0,1216.0,1435.0,KS,Ness County,20135
277.0,1808.0,2190.0,KS,Norton County,20137
1730.0,4713.0,6894.0,KS,Osage County,20139
231.0,1437.0,1753.0,KS,Osborne County,20141
424.0,2261.0,2866.0,KS,Ottawa County,20143
567.0,1872.0,2602.0,KS,Pawnee County,20145
296.0,2200.0,2611.0,KS,Phillips County,20147
2191.0,7451.0,10359.0,KS,Pottawatomie County,20149
769.0,2824.0,3806.0,KS,Pratt County,20151
160.0,1209.0,1448.0,KS,Rawlins County,20153
6670.0,15100.0,23448.0,KS,Reno County,20155
370.0,1993.0,2484.0,KS,Republic County,20157
668.0,2652.0,3567.0,KS,Rice County,20159
8892.0,9817.0,20475.0,KS,Riley County,20161
273.0,1999.0,2378.0,KS,Rooks County,20163
227.0,1177.0,1474.0,KS,Rush County,20165
454.0,2544.0,3148.0,KS,Russell County,20167
6084.0,13367.0,21206.0,KS,Saline County,20169
232.0,1832.0,2159.0,KS,Scott County,20171
66716.0,101319.0,180750.0,KS,Sedgwick County,20173
1491.0,3025.0,4743.0,KS,Seward County,20175
33270.0,35349.0,73648.0,KS,Shawnee County,20177
126.0,1186.0,1362.0,KS,Sheridan County,20179
340.0,2043.0,2537.0,KS,Sherman County,20181
295.0,1635.0,2014.0,KS,Smith County,20183
303.0,1485.0,1884.0,KS,Stafford County,20185
132.0,580.0,742.0,KS,Stanton County,20187
215.0,1564.0,1853.0,KS,Stevens County,20189
2039.0,6844.0,9494.0,KS,Sumner County,20191
467.0,2832.0,3483.0,KS,Thomas County,20193
193.0,1211.0,1459.0,KS,Trego County,20195
773.0,2358.0,3340.0,KS,Wabaunsee County,20197
45.0,711.0,779.0,KS,Wallace County,20199
378.0,2136.0,2677.0,KS,Washington County,20201
139.0,765.0,934.0,KS,Wichita County,20203
550.0,2747.0,3482.0,KS,Wilson County,20205
270.0,1063.0,1420.0,KS,Woodson County,20207
29346.0,15520.0,47467.0,KS,Wyandotte County,20209
1323.0,6637.0,8228.0,KY,Adair County,21001
1349.0,6466.0,8085.0,KY,Allen County,21003
2634.0,8242.0,11414.0,KY,Anderson County,21005
816.0,3161.0,4097.0,KY,Ballard County,21007
4275.0,13483.0,18473.0,KY,Barren County,21009
1361.0,3082.0,4577.0,KY,Bath County,21011
1720.0,7764.0,9714.0,KY,Bell County,21013
15026.0,39082.0,57550.0,KY,Boone County,21015
2791.0,5569.0,8791.0,KY,Bourbon County,21017
6021.0,13591.0,20443.0,KY,Boyd County,21019
4281.0,8040.0,12928.0,KY,Boyle County,21021
705.0,2711.0,3522.0,KY,Bracken County,21023
1537.0,3991.0,5728.0,KY,Breathitt County,21025
1960.0,6484.0,8765.0,KY,Breckinridge County,21027
8255.0,26210.0,36036.0,KY,Bullitt County,21029
947.0,4428.0,5575.0,KY,Butler County,21031
1260.0,4507.0,5972.0,KY,Caldwell County,21033
